,Unnamed: 0,type,review,label,file
85044,85044,train,"Aside from supporting performances by Thelma Todd and Jane Darwell, very few today will recognize the actors in this B-film from Columbia Studios. Likewise, it seems to be the sort of old fashioned film that few would watch today. However, me being an airplane buff and B-movie fanatic, it's a natural I'd see this film.<br /><br />Although the film begins in WWI, it soon switches to the present (1933) and features folks working with the early airlines. I loved seeing all the great old planes, such as the Ford Tri-Motor, as this is a period in aviation history that it almost forgotten today.<br /><br />Cute Evalyn Knapp stars as the daughter of one of the pilots killed in the prologue. Now a decade and a half later, she's working as an air hostess (flight attendant) for one of these airlines founded by pals of the dead pilot. The men have sort of adopted Knapp--keeping an eye out for her and protecting her at every turn. Eventually, a bad boy (James Murray) turns up and Knapp marries him--mostly to spite her protectors. The new couple struggle to make ends meet and Evalyn is forced to return to her job as an air hostess. Unfortunately, Murray ends up spending much of the marriage feeling sorry for himself because he is having trouble making a go of his new business idea as well as falling under the influence of the evil vamp (Thelma Todd). Will the marriage last through these strains or will Murray and Todd hurt poor little Knapp? See this one for yourself to find out what happens next.<br /><br />Overall, this isn't a terribly great film. The plot is awfully familiar and there's not much to make it stand out--unless, as I said above, you are an aviation nut (like me). Not bad, but not especially noteworthy--that is until the dopey ending. In a very contrived twist, the two men who love Knapp have to work together to save her life--she's on a train bound for a bridge that has just washed out and there isn't a second to lose!!! This ending loses a point from the overall score.<br /><br />By the way, at the beginning of the film you see some footage of WWI air combat. I am not sure which, but the film clips were lifted from either ""Hell's Angels"" or ""Wings"" (I am inclined to think ""Hells Angels""). I recognized these clips--particularly the scene with the pilot bleeding from the mouth. If anyone can figure out which of the films it was from, drop me a line.<br /><br />Note--About halfway through the film, Murray gives Knapp a playful little smack on the rump. Such goings on could not have occurred in this film had it come out a year later--after the toughened Production Code was enacted.",unsup,41540_0.txt
45195,45195,train,"The 3rd and in my view the best of the Blackadder series.<br /><br />The only downside is that there is no Lord Percy who was the funniest character from the previous series but Hugh Laurie's Prince Regent is suitably madcap laugh a line.<br /><br />As a package it's quality through and through with convincing regency sets, superb cutting sarcasm and little bits of the wacky, the 'macbeth' actors standing out and Prince Georges 'lucky us' chicken impression, and the missing words from Dr Johnson's dictionary.<br /><br />Few comedies have been quite as both clever as they are funny, okay the odd lame observation or line gets in but mostly it's a scream.",pos,5677_10.txt
6381,6381,test,"This movie serves up every imaginable Greek stereotype. In one particularly galling scene the tycoon says ""I'm just an ignorant peasant."" As the grandson of Greek peasant immigrants who passed on a legacy of wisdom and love to their children and grandchildren, I found this movie contemptible and odious.",neg,4494_1.txt
61458,61458,train,"Yes as many have stated, by today's standards, the casting of this movie seems ridiculous, but please keep in mind the time period that this movie was made. All things considered, even with the period specific ""whites for ethnic minorities"" casting mentality, respect for a certain amount of cultural authenticity was in this movie to a greater degree than in previous films of this era, and so I feel that in that respect this movie was ground breaking and helped slowly pave the way for minorities to eventually take center stage in great theatrical releases. Most other films before and since (until the late 70's early 80's) stereotyped Asian characters as clownish and comical to an absolutely racist degree. Not so here. Robinson (although he did use some stereotyping) created a character who was not only mysterious, but both an anti-hero as well as deep & complex the likes of which would not be seen for a great long time after. His acting ability was amazing and truly well showcased here. He was able to show what really made his characters great and not just the mugging gangster stereotype that became so exaggerated over time. Often people forget what a true talent Robinson was, and if you need to know why... See this one if you ever get the chance!!!",unsup,20312_0.txt
14820,14820,test,"I have been away from Istanbul for the last 10 years. During that time I constantly lived in London. When I have seen the movie I realised how much I am Istanbuler. I am not just from Turkey I am a part of Turkey. One of my part is Istanbul, the sound of the Istanbul, the people of the Istanbul.<br /><br />Probably Faith Akin thought that he has done great musical documentary but I must say it is more than that. It is about putting nice blend of vastly different musics, cultures, approaches, politics, ethnics into a delicious pot...<br /><br />As we all know Turkey to be precise Istanbul is always comes and goes between being eastern or western city. As one of the band member said Istanbul is a bi-cultural city. But much more a eastern city because we always tried to be a western city. It shows we've never been one.<br /><br />This movie will catch from very first second. Music is excellent, people are fascinating. Especially Aynur and Sezen Aksu. Singers, band members! It is nice to see you all at a small cinema in Wood Green.",pos,12089_10.txt
35702,35702,train,"...Ever. This is the bottom. I am not joking. The theater should've had a warning of some kind. 'Abandon all hope ye who enter here' would've been fitting.<br /><br />I don't have the words to describe accurately the hell that this movie is. Its debilitating stupidity even fails to amuse. This movie is definitely aimed at some of the slower turtles in the sandbox. The story was blatantly stolen from a 10 minute Bugs Bunny cartoon and then stretched like Mr. Fantastic to 90 excruciatingly painful minutes.<br /><br />I remember when the Wayans's were funny. I guess the pressures of Hollywood for them to produce produce produce are to blame for the poop that churns out at a consistent rate. I'm sad and offended that they think we are stupid enough to enjoy 90 minutes of kick-in-the-balls jokes with a thin plot based on a cartoon.<br /><br />I disliked nearly everything about this movie. I won't spoil anything but the baby is actually a midget with Marlon Wayans's face poorly superimposed over the midget's body. What I DID like was the ending. Not the movie's resolution, but the actual end where we all stood up and walked out.<br /><br />I gave this movie one star, but it clearly deserves less. I don't feel that the six minutes they spent writing the script is worth a star. This does deserve a Razzie and I pray to God it gets it.<br /><br />When are people going to learn; if you stop paying to see this idiocy they will stop pooping it out. Seppuku is a reasonable alternative to this film. Avoid it at all costs. You have been warned.",neg,8383_1.txt
21025,21025,test,"I saw this movie many years ago, have tried to locate it but perhaps understandably it is nowhere to be found. It was so esoteric, & yet one of a handful of movies that remains with you for a long time. I am still not sure what the reality of the movie is, and perhaps, like the Uncertainty Principle, the obscurity is the definite thing. Acting is superb, the atmosphere is always filled with a sense of foreboding, an overall melancholiness permeates, & yet, it is hard not to be absorbed in the story. I rented it thinking it was science fiction (it was in the sci-fi section with some totally misleading blurb), but quite clearly it is not. Or horror, or even suspense. In fact, one feels thankful the director took the courage to make a movie like this, for which obviously there is no solid audience. I know some people have complained about Klaus Kinski's short role, but I think it is very appropriate - his limited exposure is critical to the formation of the mystery of this movie.",pos,6423_8.txt
56191,56191,train,"I started watching this show in 2006, probably the last season it was in production, and now enjoy the reruns every night. What a thoughtful and funny show. It rivals and possibly exceeds all of Bill Cosby's shows with family humor that never sinks to the low humor used on so many situation comedies. Each show is an original and enjoyable learning experience. The actors are great, especially Bernie and the adorable Jeremy Suarez (I just want to squeeze that child, he is the cutest child ever), and the music is fabulous. All in all, one of my favorites. I love the way its shot and how Bernie addresses America. It's just so good, I wish it was still in production so I could see more of it. Thanks Bernie from a fellow, former, Chicagoan.",unsup,15573_0.txt
48236,48236,train,"A stupid young man becomes obsessed with a woman--so obsessed that he loses perspective and common sense. An evil magician approaches him and informs him he can give him great wealth that he can use to win the lady's heart IF he agrees to give him anything he wants that's within their room. The dumb guy agrees and the magician steals the man's reflection out of the mirror--and bad things naturally occur as a result.<br /><br />If this film had been made just a decade later, I am sure I wouldn't have been so charitable in reviewing and scoring this film. After all, the film's plot is a bit vague in spots and the acting is, at times, a bit stilted. However, when you consider that in 1913 ""full-length"" films were rare--and often only 20 to 30 minutes long! Plus, the whole idea of a complex story like you get in this film is very unusual--as stories were very short and broadly acted. So, given the limitations of the time, this film is pretty good and is one of the earlier horror films known.",pos,8413_8.txt
25047,25047,train,"Such a long awaited movie.. But it has disappointed me and my friends who had gone to see the movie on the first day.. From the trailers it looked like a action movie, but it turned out to be a out & out comedy(a bad comedy). But one thing that deserves appreciation is the acting by these professional actors, they've done their part of the movie very well. Good acting, but i don't think that can save the movie.. India has been shot beautifully. Kerala, Rajasthan, (Ladakh?) were all saturated with color, alright. Nevertheless the way the intrinsic beauty of these places was shot made me want to find out exactly where those places were and when I could go there ;-)<br /><br />Action sequences were shot very shabbily, no one could make out head & tail of the stunts, they've used Akki(akshay kumar) very well but could've been done much much better..<br /><br />Animation is the worst i've seen in recent movies(90's movies had better animation scenes i guess(initial scene where the car is falling off 'flying should be better word' the road into lake).<br /><br />And the movies name has been mentioned nearly every 20 to 30 mins, just to make sure audiences don't forget the movie name i guess..",neg,10042_1.txt
